From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2012-09-09,,,7.167083333333333,14.213333333333333,10.576666666666666,,0.18625,0.9356521739130435,,,,,,,30.80125,77.18666666666667,0.6254166666666666,292.5154166666667,118.74916666666667,1000.5245833333333,0.4504166666666667
2012-09-10,,,9.511666666666667,19.385416666666668,14.864583333333334,,0.32083333333333336,0.9945833333333334,,,,,,,31.0125,72.67166666666667,0.63375,308.44136363636363,225.0895833333333,1000.8041666666667,0.4529166666666667
2012-09-11,,,7.3525,16.213333333333335,11.717916666666667,,0.3066666666666667,0.9095652173913045,,,,,,,31.509583333333335,72.32916666666667,0.6383333333333333,277.57952380952383,276.6645833333333,1000.75375,0.45249999999999996
2012-09-12,,,6.672083333333333,16.010833333333334,11.0475,,0.20043478260869566,0.9054166666666666,,,,,,,32.275,67.48958333333333,0.6529166666666667,280.0416666666667,297.6308333333333,1001.28375,0.45416666666666666
2012-09-13,,,5.6816666666666675,15.529583333333333,10.13,,0.28125,0.895,,,,,,,31.435000000000002,74.3675,0.6366666666666666,261.97090909090906,242.57458333333332,1001.9716666666667,0.45249999999999996
2012-09-14,,,5.706666666666667,14.87,9.777916666666668,,0.16208333333333333,0.9843478260869566,,,,,,,31.762083333333333,75.83375,0.6466666666666666,286.6915,279.835,1001.1883333333334,0.45375000000000004
2012-09-15,,,7.692083333333334,20.534166666666668,14.123333333333333,,0.21999999999999997,1.0518181818181818,,,,,,,31.112916666666667,76.01916666666666,0.63125,310.6240909090909,252.30041666666668,1000.1550000000001,0.4504166666666667
2012-09-16,,,6.5275,12.167083333333332,9.117083333333333,,0.17375,1.1817391304347826,,,,,,,32.01708333333333,68.18333333333334,0.6466666666666666,304.7752631578947,272.0941666666667,1000.1158333333333,0.45416666666666666
2012-09-17,,,6.846666666666667,12.404583333333333,9.465833333333334,,0.4633333333333333,1.3525,,,,,,,32.347500000000004,69.32666666666667,0.6504166666666666,279.87739130434784,288.0995833333333,1000.6220833333333,0.45458333333333334
2012-09-18,,,5.620833333333334,17.739166666666666,11.049166666666666,,0.5552173913043478,0.9654545454545456,,,,,,,31.42375,74.42416666666666,0.61625,258.51750000000004,207.94833333333335,1001.22625,0.4504166666666667
2012-09-19,,,5.6433333333333335,13.444166666666668,9.072083333333333,,0.30291666666666667,1.035909090909091,,,,,,,31.728333333333335,72.14166666666667,0.6516666666666667,279.42875,187.7145833333333,1000.57,0.455
2012-09-20,,,7.03625,13.247083333333334,9.989583333333334,,0.28125,0.7809090909090909,,,,,,,31.31125,78.98625,0.6779166666666666,278.32416666666666,179.78416666666666,1001.5008333333334,0.45875
2012-09-21,,,6.214583333333334,13.844583333333333,9.71875,,0.3695652173913043,0.9421739130434783,,,,,,,30.159166666666668,85.39875,0.6520833333333333,255.17190476190476,156.9575,1002.1262499999999,0.45416666666666666
2012-09-22,,,6.15875,12.894166666666669,9.200000000000001,,0.21000000000000002,0.8566666666666668,,,,,,,31.95875,78.855,0.6766666666666666,259.58125,196.63541666666666,1002.0487499999999,0.4579166666666667
2012-09-23,,,5.854666666666666,12.586,8.807333333333334,,0.295,0.9738461538461538,,,,,,,32.93866666666666,73.04866666666666,0.676,265.49357142857144,203.26066666666665,1001.0773333333333,0.45866666666666667
2012-09-24,,,5.729583333333333,17.592916666666667,11.16625,,0.3466666666666667,0.8954166666666667,,,,,,,32.57875,68.39541666666666,0.63,279.0958823529412,139.55249999999998,1001.2429166666666,0.45125
